antecedents,consequents,support,confidence,lift
"Wrong Trousers, The (1993), Star Wars: Episode V - The Empire Strikes Back (1980)","Star Wars: Episode IV - A New Hope (1977), Close Shave, A (1995)",0.04608139926000673,0.5684647302904564,9.441595771807412
"Star Wars: Episode IV - A New Hope (1977), Close Shave, A (1995)","Wrong Trousers, The (1993), Star Wars: Episode V - The Empire Strikes Back (1980)",0.04608139926000673,0.7653631284916201,9.441595771807412
"Star Wars: Episode IV - A New Hope (1977), Close Shave, A (1995)","Wrong Trousers, The (1993), Raiders of the Lost Ark (1981)",0.04137235116044399,0.6871508379888268,9.160984041886916
"Wrong Trousers, The (1993), Raiders of the Lost Ark (1981)","Star Wars: Episode IV - A New Hope (1977), Close Shave, A (1995)",0.04137235116044399,0.5515695067264574,9.160984041886916
"Raiders of the Lost Ark (1981), Close Shave, A (1995)","Wrong Trousers, The (1993), Star Wars: Episode IV - A New Hope (1977)",0.04137235116044399,0.7546012269938649,9.11963190184049
"Wrong Trousers, The (1993), Star Wars: Episode IV - A New Hope (1977)","Raiders of the Lost Ark (1981), Close Shave, A (1995)",0.04137235116044399,0.5,9.11963190184049
"Godfather: Part II, The (1974), Star Wars: Episode IV - A New Hope (1977), Alien (1979), Die Hard (1988)","Aliens (1986), Star Wars: Episode V - The Empire Strikes Back (1980), Raiders of the Lost Ark (1981), Terminator, The (1984), Godfather, The (1972)",0.04069963000336361,0.6436170212765958,9.11177811550152
"Aliens (1986), Star Wars: Episode V - The Empire Strikes Back (1980), Raiders of the Lost Ark (1981), Terminator, The (1984), Godfather, The (1972)","Godfather: Part II, The (1974), Star Wars: Episode IV - A New Hope (1977), Alien (1979), Die Hard (1988)",0.04069963000336361,0.5761904761904763,9.11177811550152
"Raiders of the Lost Ark (1981), Close Shave, A (1995)","Wrong Trousers, The (1993), Star Wars: Episode V - The Empire Strikes Back (1980)",0.04036326942482341,0.7361963190184049,9.081791105567293
"Star Wars: Episode V - The Empire Strikes Back (1980), Close Shave, A (1995)","Wrong Trousers, The (1993), Star Wars: Episode IV - A New Hope (1977)",0.04608139926000673,0.7506849315068493,9.072302038088875
"Wrong Trousers, The (1993), Star Wars: Episode IV - A New Hope (1977)","Star Wars: Episode V - The Empire Strikes Back (1980), Close Shave, A (1995)",0.04608139926000673,0.556910569105691,9.072302038088873
"Godfather, The (1972), Star Wars: Episode V - The Empire Strikes Back (1980), Alien (1979), Die Hard (1988)","Aliens (1986), Raiders of the Lost Ark (1981), Godfather: Part II, The (1974), Star Wars: Episode IV - A New Hope (1977), Terminator, The (1984)",0.04069963000336361,0.5537757437070938,8.947691771962988
"Aliens (1986), Raiders of the Lost Ark (1981), Godfather: Part II, The (1974), Star Wars: Episode IV - A New Hope (1977), Terminator, The (1984)","Godfather, The (1972), Star Wars: Episode V - The Empire Strikes Back (1980), Alien (1979), Die Hard (1988)",0.04069963000336361,0.657608695652174,8.947691771962988
"Star Wars: Episode V - The Empire Strikes Back (1980), Raiders of the Lost Ark (1981), Terminator, The (1984), Alien (1979), Godfather, The (1972)","Godfather: Part II, The (1974), Star Wars: Episode IV - A New Hope (1977), Aliens (1986), Die Hard (1988)",0.04069963000336361,0.5330396475770925,8.928038716882796
"Godfather: Part II, The (1974), Star Wars: Episode IV - A New Hope (1977), Aliens (1986), Die Hard (1988)","Star Wars: Episode V - The Empire Strikes Back (1980), Raiders of the Lost Ark (1981), Terminator, The (1984), Alien (1979), Godfather, The (1972)",0.04069963000336361,0.6816901408450705,8.928038716882796
"Star Wars: Episode IV - A New Hope (1977), Godfather, The (1972), Alien (1979), Die Hard (1988)","Aliens (1986), Raiders of the Lost Ark (1981), Godfather: Part II, The (1974), Terminator, The (1984), Star Wars: Episode V - The Empire Strikes Back (1980)",0.04069963000336361,0.5401785714285715,8.897234863474477
"Aliens (1986), Raiders of the Lost Ark (1981), Godfather: Part II, The (1974), Terminator, The (1984), Star Wars: Episode V - The Empire Strikes Back (1980)","Star Wars: Episode IV - A New Hope (1977), Godfather, The (1972), Alien (1979), Die Hard (1988)",0.04069963000336361,0.6703601108033241,8.897234863474477
